pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
1591;0,245623;0,203125;0,68;131;0,025321;0,015625;0,00;54;0,047669;0,000000;0,00;SAT
100;0,285413;0,250000;0,16;133;0,029857;0,015625;0,00;2;0,004250;0,000000;0,00;UNSAT
1470;0,232420;0,234375;0,38;132;0,030609;0,000000;0,00;68;0,009266;0,015625;0,07;SAT
1895;0,272542;0,250000;0,36;115;0,025985;0,015625;0,00;60;0,011654;0,000000;0,15;SAT
100;0,023521;0,015625;0,00;105;0,021110;0,031250;0,00;2;0,011697;0,000000;0,06;UNSAT
100;0,074151;0,078125;0,51;119;0,025627;0,031250;0,00;2;0,003864;0,000000;0,00;UNSAT
1711;0,300266;0,265625;0,43;117;0,017712;0,015625;0,00;52;0,013259;0,015625;0,13;SAT
1741;0,256248;0,234375;0,29;118;0,023145;0,015625;0,00;60;0,014019;0,015625;0,45;SAT
1753;0,308341;0,234375;0,00;131;0,028830;0,015625;0,00;61;0,013328;0,015625;0,34;SAT
1910;0,343691;0,312500;0,19;124;0,029776;0,031250;0,00;59;0,018373;0,000000;0,27;SAT
1750;0,315845;0,234375;0,36;111;0,026058;0,000000;0,00;55;0,050994;0,000000;0,10;SAT
100;0,188088;0,156250;0,08;97;0,024093;0,015625;0,00;2;0,028016;0,000000;0,00;UNSAT
100;0,083891;0,046875;0,12;120;0,027958;0,015625;0,00;2;0,002323;0,015625;0,00;UNSAT
1725;0,279983;0,234375;0,00;104;0,019145;0,015625;0,00;58;0,013667;0,015625;0,28;SAT
1752;0,317966;0,281250;0,00;125;0,021527;0,015625;0,00;56;0,010475;0,015625;0,38;SAT
100;0,151726;0,140625;0,04;114;0,022579;0,000000;0,00;2;0,010985;0,000000;0,00;UNSAT
1662;0,283457;0,234375;0,17;127;0,022954;0,031250;0,00;61;0,012000;0,015625;0,43;SAT
100;0,091729;0,078125;0,49;128;0,029187;0,015625;0,00;2;0,004261;0,000000;0,07;UNSAT
100;0,003272;0,000000;0,00;124;0,027423;0,031250;0,00;2;0,002775;0,000000;0,02;UNSAT
1784;0,299832;0,187500;0,17;113;0,024147;0,015625;0,00;59;0,010417;0,000000;0,00;SAT
1803;0,303751;0,281250;0,37;100;0,017360;0,015625;0,00;62;0,019714;0,015625;0,00;SAT
1582;0,301468;0,218750;0,31;130;0,019457;0,015625;0,00;64;0,010494;0,015625;0,24;SAT
1948;0,273840;0,265625;0,57;107;0,022672;0,015625;0,00;51;0,020545;0,000000;0,00;SAT
100;0,077766;0,078125;0,10;126;0,025622;0,015625;0,00;2;0,009842;0,000000;0,00;UNSAT
1870;0,293416;0,234375;0,46;123;0,023897;0,015625;0,00;59;0,022878;0,000000;0,41;SAT
1801;0,256326;0,250000;0,61;120;0,028221;0,015625;0,03;54;0,008734;0,000000;0,11;SAT
100;0,179570;0,171875;0,46;120;0,018166;0,015625;0,00;2;0,017668;0,000000;0,00;UNSAT
100;0,007144;0,000000;0,37;116;0,032999;0,000000;0,01;2;0,001517;0,000000;0,00;UNSAT
1716;0,281286;0,234375;0,73;121;0,043004;0,031250;0,00;55;0,009276;0,000000;0,00;SAT
1990;0,293426;0,265625;0,17;111;0,025421;0,015625;0,00;55;0,024833;0,000000;0,36;SAT
1864;0,325317;0,296875;0,07;128;0,018878;0,015625;0,00;69;0,034503;0,015625;0,00;SAT
1791;0,318485;0,250000;0,00;126;0,036998;0,015625;0,00;62;0,021321;0,015625;0,39;SAT
1683;0,284716;0,250000;0,58;129;0,024137;0,031250;0,03;54;0,010783;0,000000;0,00;SAT
1968;0,261562;0,250000;0,65;126;0,029749;0,000000;0,00;62;0,017680;0,000000;0,10;SAT
1846;0,338309;0,296875;0,00;108;0,021172;0,031250;0,00;60;0,016386;0,015625;0,00;SAT
1658;0,223792;0,218750;0,38;128;0,024395;0,015625;0,04;63;0,034016;0,000000;0,42;SAT
1829;0,332454;0,250000;0,04;122;0,019921;0,031250;0,00;55;0,009046;0,000000;0,00;SAT
100;0,061400;0,046875;0,00;126;0,018672;0,031250;0,02;2;0,026525;0,000000;0,00;UNSAT
1742;0,302726;0,203125;0,00;118;0,055397;0,031250;0,05;60;0,023571;0,000000;0,52;SAT
1844;0,297716;0,265625;0,00;102;0,025960;0,015625;0,00;64;0,029248;0,015625;0,14;SAT
1664;0,263090;0,234375;0,01;110;0,051993;0,015625;0,01;59;0,021573;0,015625;0,08;SAT
1671;0,295272;0,234375;0,30;132;0,029151;0,000000;0,00;52;0,008468;0,000000;0,00;SAT
100;0,277701;0,187500;0,66;115;0,022250;0,015625;0,00;2;0,001199;0,000000;0,00;UNSAT
1781;0,303880;0,234375;0,00;123;0,034931;0,000000;0,00;61;0,015979;0,000000;0,32;SAT
1782;0,278730;0,234375;0,08;123;0,020448;0,015625;0,00;59;0,023495;0,000000;0,37;SAT
100;0,021934;0,015625;0,23;108;0,019416;0,000000;0,00;2;0,011148;0,000000;0,00;UNSAT
100;0,073695;0,062500;0,00;135;0,033004;0,015625;0,14;2;0,017488;0,000000;0,00;UNSAT
100;0,031662;0,031250;0,04;130;0,035583;0,000000;0,00;2;0,008031;0,015625;0,00;UNSAT
1804;0,315044;0,187500;0,34;119;0,038204;0,015625;0,00;58;0,015714;0,015625;0,20;SAT
1718;0,249442;0,218750;0,80;115;0,020626;0,015625;0,00;60;0,011672;0,000000;0,20;SAT
1639;0,269762;0,187500;0,00;128;0,024753;0,000000;0,00;54;0,018966;0,015625;0,09;SAT
100;0,017809;0,000000;0,06;126;0,033013;0,000000;0,00;2;0,023795;0,015625;0,00;UNSAT
1965;0,346261;0,312500;0,12;107;0,023747;0,015625;0,00;53;0,013110;0,000000;0,19;SAT
2181;0,397995;0,328125;0,84;113;0,026489;0,031250;0,00;56;0,016529;0,015625;0,48;SAT
1708;0,289174;0,234375;0,07;117;0,021804;0,015625;0,00;61;0,011032;0,015625;0,46;SAT
1745;0,276132;0,250000;0,00;118;0,026140;0,031250;0,00;58;0,011607;0,000000;0,46;SAT
100;0,117377;0,125000;0,00;120;0,029514;0,031250;0,00;2;0,001397;0,000000;0,00;UNSAT
1670;0,273098;0,265625;0,00;117;0,021318;0,000000;0,00;58;0,009757;0,015625;0,33;SAT
100;0,008143;0,015625;0,61;114;0,018838;0,000000;0,00;2;0,006275;0,000000;0,00;UNSAT
1924;0,293333;0,250000;0,12;110;0,029980;0,015625;0,00;60;0,012221;0,000000;0,38;SAT
1645;0,282454;0,234375;0,00;121;0,020594;0,015625;0,00;61;0,015196;0,000000;0,18;SAT
1863;0,312387;0,281250;0,39;124;0,022427;0,015625;0,00;55;0,015596;0,000000;0,19;SAT
1840;0,310477;0,296875;0,57;115;0,023578;0,015625;0,00;60;0,008137;0,015625;0,34;SAT
1658;0,246236;0,234375;0,57;122;0,026225;0,015625;0,03;59;0,008597;0,015625;0,00;SAT
100;0,005419;0,000000;0,50;125;0,035620;0,031250;0,01;2;0,010706;0,015625;0,00;UNSAT
1798;0,316232;0,281250;0,13;122;0,018858;0,000000;0,05;54;0,014110;0,000000;0,25;SAT
1619;0,267910;0,250000;0,12;108;0,020727;0,000000;0,00;58;0,011018;0,015625;0,05;SAT
1754;0,294623;0,234375;0,00;123;0,021664;0,015625;0,00;60;0,011829;0,015625;0,27;SAT
1529;0,252536;0,234375;0,23;120;0,019947;0,000000;0,00;53;0,007066;0,015625;0,43;SAT
1779;0,290257;0,250000;0,00;123;0,021919;0,015625;0,00;61;0,019041;0,031250;0,11;SAT
1404;0,200820;0,203125;0,00;116;0,015814;0,015625;0,00;58;0,020246;0,000000;0,00;SAT
1643;0,278959;0,265625;0,00;116;0,018410;0,015625;0,00;56;0,013939;0,000000;0,16;SAT
1986;0,369110;0,265625;0,00;123;0,027969;0,031250;0,00;58;0,014539;0,015625;0,12;SAT
100;0,251419;0,234375;0,64;111;0,024450;0,015625;0,00;2;0,003966;0,000000;0,00;UNSAT
100;0,099974;0,109375;0,17;119;0,021985;0,015625;0,00;2;0,001299;0,000000;0,00;UNSAT
100;0,014012;0,000000;0,00;109;0,021113;0,031250;0,01;2;0,000515;0,000000;0,00;UNSAT
1762;0,270622;0,250000;0,00;95;0,020325;0,000000;0,00;61;0,021035;0,000000;0,06;SAT
100;0,006538;0,000000;0,18;109;0,024399;0,015625;0,00;2;0,000478;0,000000;0,00;UNSAT
1620;0,250607;0,218750;0,37;116;0,022026;0,015625;0,00;60;0,022186;0,015625;0,00;SAT
100;0,082170;0,062500;0,60;112;0,024773;0,015625;0,00;2;0,001467;0,000000;0,00;UNSAT
100;0,223483;0,203125;0,08;120;0,019436;0,015625;0,00;2;0,020321;0,000000;0,00;UNSAT
