pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
468;1,548270;1,500000;1,37;67;0,001372;0,000000;0,00;46;0,001360;0,000000;0,00;SAT
554;2,165457;2,093750;1,19;64;0,001414;0,000000;0,00;38;0,001096;0,000000;0,00;SAT
1843;8,858817;8,593750;0,00;64;0,004892;0,000000;0,00;43;0,012821;0,000000;0,00;SAT
50;0,000607;0,000000;0,03;54;0,001142;0,000000;0,00;2;0,001039;0,000000;0,00;UNSAT
223;0,261884;0,234375;0,00;64;0,001313;0,000000;0,00;41;0,001211;0,000000;0,00;SAT
156;0,075631;0,062500;0,45;66;0,001374;0,000000;0,00;39;0,001148;0,000000;0,00;SAT
102;0,030305;0,031250;0,00;61;0,001260;0,015625;0,00;45;0,001163;0,000000;0,00;SAT
276;0,374109;0,375000;1,60;64;0,011566;0,015625;0,00;43;0,002486;0,000000;0,06;SAT
611;3,392167;3,343750;2,98;60;0,001774;0,000000;0,00;41;0,001234;0,000000;0,00;SAT
7872;168,203142;159,265625;1,11;64;0,017211;0,000000;0,00;39;0,007211;0,000000;0,06;SAT
993;20,133085;19,343750;0,98;61;0,001835;0,015625;0,00;42;0,006219;0,000000;0,00;SAT
586;5,628278;5,265625;0,31;59;0,007061;0,000000;0,00;40;0,009939;0,000000;0,07;SAT
385;1,119794;1,015625;3,18;61;0,008340;0,000000;0,00;44;0,002898;0,000000;0,00;SAT
285;0,618789;0,531250;0,20;62;0,012880;0,000000;0,00;39;0,015986;0,000000;0,07;SAT
172;0,181136;0,109375;0,00;62;0,009679;0,000000;0,00;44;0,007147;0,000000;0,07;SAT
2098;6,671969;6,171875;0,34;62;0,029469;0,000000;0,00;45;0,004617;0,000000;0,00;SAT
225;0,295777;0,265625;2,11;64;0,001325;0,000000;0,00;45;0,001387;0,000000;0,00;SAT
809;14,594163;12,968750;2,96;63;0,002471;0,000000;0,00;42;0,004102;0,015625;0,00;SAT
1262;11,302454;10,468750;1,69;61;0,005229;0,000000;0,00;40;0,002544;0,015625;0,00;SAT
1003;1,152670;0,875000;0,00;66;0,004367;0,000000;0,00;46;0,003343;0,000000;0,00;SAT
1844;1,242690;1,109375;0,00;61;0,003367;0,000000;0,00;44;0,002950;0,000000;0,14;SAT
5406;59,053585;54,531250;1,11;66;0,003770;0,015625;0,00;41;0,011195;0,000000;0,00;SAT
735;11,920771;11,437500;2,66;61;0,007376;0,000000;0,00;43;0,005928;0,000000;0,14;SAT
754;12,494481;11,796875;2,39;69;0,005937;0,015625;0,00;45;0,003222;0,000000;0,00;SAT
50;0,006449;0,000000;0,00;59;0,001341;0,000000;0,00;2;0,000389;0,000000;0,00;UNSAT
83;0,021366;0,015625;0,00;71;0,010772;0,000000;0,00;43;0,003448;0,000000;0,16;SAT
424;1,788538;1,609375;3,23;59;0,004304;0,000000;0,00;44;0,002540;0,000000;0,00;SAT
533;3,100672;3,031250;0,69;60;0,006976;0,000000;0,00;37;0,005204;0,000000;0,06;SAT
