pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
200;0,015158;0,015625;0,65;311;0,032222;0,031250;0,00;2;0,005494;0,015625;0,00;UNSAT
200;0,033317;0,031250;0,00;296;0,023764;0,015625;0,00;2;0,003258;0,000000;0,00;UNSAT
4728;68,965065;67,531250;0,10;307;0,032106;0,015625;0,03;174;0,019678;0,031250;0,15;SAT
200;0,032866;0,031250;0,36;288;0,021057;0,015625;0,00;2;0,001231;0,000000;0,00;UNSAT
200;0,032243;0,031250;0,00;292;0,023122;0,015625;0,00;2;0,002188;0,000000;0,00;UNSAT
3270;32,452647;31,687500;1,80;309;0,027525;0,015625;0,00;176;0,020936;0,015625;0,00;SAT
1633;9,236458;9,109375;2,94;282;0,021978;0,000000;0,00;168;0,021332;0,015625;0,05;SAT
2407;15,097190;14,890625;2,39;283;0,021270;0,015625;0,00;158;0,016899;0,015625;0,00;SAT
3438;44,332561;43,593750;1,34;284;0,028043;0,015625;0,03;167;0,029320;0,031250;0,42;SAT
2180;10,252044;10,046875;3,55;285;0,028273;0,031250;0,00;169;0,037054;0,000000;0,00;SAT
5357;77,632843;75,781250;1,65;285;0,023397;0,015625;0,03;178;0,024639;0,015625;0,32;SAT
200;0,025533;0,031250;0,65;309;0,023889;0,000000;0,05;2;0,000538;0,000000;0,00;UNSAT
5222;60,266835;59,000000;1,05;308;0,038547;0,031250;0,03;171;0,036867;0,015625;0,12;SAT
200;0,034334;0,031250;1,37;289;0,021758;0,015625;0,00;2;0,000349;0,000000;0,00;UNSAT
1246;3,998720;3,937500;0,81;292;0,023203;0,015625;0,00;172;0,020541;0,015625;0,00;SAT
5647;73,966354;72,718750;1,59;291;0,022590;0,031250;0,03;171;0,021697;0,015625;0,00;SAT
5907;94,071418;92,015625;1,77;300;0,025189;0,015625;0,03;168;0,025394;0,015625;0,15;SAT
2087;11,077846;10,890625;1,93;293;0,024046;0,031250;0,00;163;0,034211;0,031250;0,07;SAT
