pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
300;0,094894;0,093750;1,02;358;0,045195;0,046875;0,03;2;0,002255;0,000000;0,00;UNSAT
300;0,022190;0,031250;0,00;347;0,048881;0,046875;0,03;2;0,020389;0,000000;0,00;UNSAT
300;0,105211;0,093750;0,96;363;0,061975;0,062500;0,03;2;0,009764;0,000000;0,00;UNSAT
300;0,050641;0,031250;0,94;358;0,073359;0,062500;0,03;2;0,003876;0,000000;0,00;UNSAT
300;0,264738;0,250000;1,14;339;0,044572;0,031250;0,03;2;0,000630;0,015625;0,00;UNSAT
300;0,037260;0,031250;0,02;354;0,046978;0,046875;0,03;2;0,003709;0,000000;0,00;UNSAT
300;0,222924;0,203125;1,09;355;0,048747;0,046875;0,03;2;0,017569;0,000000;0,00;UNSAT
300;0,112674;0,109375;0,84;345;0,052052;0,046875;0,03;2;0,004695;0,000000;0,00;UNSAT
300;0,147879;0,156250;0,00;349;0,070004;0,078125;0,03;2;0,002329;0,000000;0,00;UNSAT
6655;99,925779;98,093750;1,91;361;0,024224;0,031250;0,03;219;0,024503;0,031250;0,25;SAT
299;0,047066;0,031250;0,79;347;0,048203;0,046875;0,03;2;0,001858;0,000000;0,00;UNSAT
300;0,221629;0,218750;0,13;355;0,044287;0,046875;0,03;2;0,001962;0,000000;0,00;UNSAT
300;0,061412;0,046875;0,00;353;0,049440;0,046875;0,03;2;0,005790;0,000000;0,00;UNSAT
300;0,018156;0,015625;0,00;354;0,057675;0,046875;0,03;2;0,005889;0,000000;0,00;UNSAT
300;0,066809;0,046875;0,86;344;0,047878;0,031250;0,03;2;0,001318;0,000000;0,00;UNSAT
300;0,258066;0,265625;0,11;348;0,045905;0,046875;0,03;2;0,000985;0,000000;0,00;UNSAT
6261;77,734842;75,328125;0,83;345;0,046074;0,046875;0,03;232;0,041252;0,046875;0,92;SAT
6733;83,786589;81,828125;1,50;353;0,027544;0,031250;0,04;234;0,031179;0,031250;0,59;SAT
300;0,145000;0,156250;0,73;350;0,058381;0,046875;0,04;2;0,011806;0,000000;0,00;UNSAT
