pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
200;26,029559;24,062500;0,00;171;1,287171;1,218750;0,95;2;0,013680;0,000000;0,27;UNSAT
23360;104,247833;96,265625;0,00;168;2,030171;1,718750;0,00;75;0,133595;0,093750;4,67;SAT
200;1,519181;1,296875;10,65;5;0,698506;0,578125;0,00;2;0,013455;0,015625;0,00;UNSAT
200;0,629076;0,500000;0,00;185;1,798869;1,500000;0,12;2;0,011667;0,000000;0,18;UNSAT
22870;98,705431;91,375000;0,00;154;1,947706;1,656250;1,09;68;0,128170;0,093750;4,28;SAT
21641;97,148299;91,046875;0,04;146;1,769105;1,484375;0,01;76;0,149201;0,125000;4,57;SAT
23279;96,392628;90,265625;0,00;159;1,797315;1,515625;1,29;76;0,130135;0,109375;4,37;SAT
22663;100,294088;92,343750;0,00;136;2,112014;1,984375;1,16;75;0,124778;0,109375;4,14;SAT
200;32,295578;30,734375;31,66;189;1,561597;1,343750;0,21;2;0,011315;0,000000;0,00;UNSAT
23495;104,287609;96,390625;0,00;167;1,686121;1,640625;0,97;67;0,108464;0,078125;4,54;SAT
22172;100,337291;91,609375;0,00;168;1,721215;1,640625;1,39;74;0,126338;0,109375;4,04;SAT
22081;95,275624;88,000000;0,00;192;1,501112;1,421875;1,08;81;0,109456;0,109375;4,60;SAT
22439;98,420087;91,390625;0,00;159;1,959183;1,906250;1,15;69;0,109436;0,109375;3,93;SAT
24545;107,494989;98,656250;0,00;166;2,540425;1,953125;1,86;72;0,145628;0,125000;4,42;SAT
22966;103,711684;94,546875;0,00;162;1,379544;1,359375;1,05;65;0,088508;0,093750;3,95;SAT
20138;89,998935;81,875000;0,00;175;2,182801;1,859375;1,79;74;0,113019;0,109375;4,34;SAT
24312;110,836651;101,828125;0,00;135;1,679289;1,531250;0,98;77;0,129365;0,109375;0,07;SAT
27540;119,852332;111,203125;0,00;154;1,737689;1,562500;1,16;73;0,100087;0,109375;4,27;SAT
26268;112,947184;104,859375;0,00;137;1,676805;1,484375;0,99;66;0,130377;0,125000;4,82;SAT
22550;104,141465;95,218750;0,00;151;1,804163;1,609375;1,14;74;0,113160;0,109375;3,88;SAT
200;9,205273;8,578125;0,00;137;1,395065;1,343750;1,03;2;0,010292;0,000000;0,11;UNSAT
24746;105,821214;97,765625;0,00;129;1,949641;1,687500;1,07;74;0,126341;0,109375;4,39;SAT
26491;117,656684;109,000000;0,00;142;1,818656;1,812500;1,16;71;0,119462;0,125000;0,00;SAT
27529;118,633447;109,468750;0,00;131;1,400305;1,375000;0,48;64;0,095408;0,093750;4,31;SAT
22050;98,881337;90,640625;0,00;140;1,834377;1,671875;1,50;75;0,106277;0,109375;4,03;SAT
22420;101,224014;92,812500;29,44;159;1,464223;1,437500;0,00;74;0,092650;0,093750;0,27;SAT
27461;108,528168;104,015625;0,00;171;1,003024;0,937500;0,22;66;0,092470;0,078125;5,49;SAT
26232;102,255415;97,937500;0,00;146;1,147502;1,125000;0,99;70;0,080557;0,078125;5,09;SAT
23178;92,267455;87,765625;0,00;157;1,367109;1,375000;0,93;73;0,120514;0,078125;4,91;SAT
26457;97,532777;94,500000;0,00;175;1,098588;1,093750;1,21;67;0,060327;0,046875;4,51;SAT
200;6,754532;6,218750;0,00;9;0,956911;0,875000;0,88;2;0,009678;0,000000;0,19;UNSAT
200;7,107684;6,812500;0,00;152;2,011062;1,921875;1,81;2;0,010419;0,015625;0,13;UNSAT
200;5,163705;4,828125;0,00;168;1,824872;1,687500;1,12;2;0,009614;0,015625;0,00;UNSAT
22772;85,923166;83,828125;25,74;178;0,911394;0,875000;0,00;78;0,064301;0,062500;0,21;SAT
21987;80,249275;77,703125;0,00;184;1,106967;1,109375;0,00;87;0,081934;0,078125;5,20;SAT
200;6,378116;5,625000;0,00;175;1,739670;1,625000;0,29;2;0,009589;0,000000;0,02;UNSAT
18680;60,527847;59,406250;0,00;197;1,514775;1,484375;1,67;83;0,070093;0,078125;3,09;SAT
